,qid,docno,label
0,test-environment-aeghhgwpe-pro02a,test-environment-aeghhgwpe-pro02b,1
1,test-environment-aeghhgwpe-pro01a,test-environment-aeghhgwpe-pro01b,1
2,test-environment-aeghhgwpe-pro03a,test-environment-aeghhgwpe-pro03b,1
3,test-environment-aeghhgwpe-pro04a,test-environment-aeghhgwpe-pro04b,1
4,test-environment-aeghhgwpe-con02a,test-environment-aeghhgwpe-con02b,1
5,test-environment-aeghhgwpe-con03a,test-environment-aeghhgwpe-con03b,1
6,test-environment-aeghhgwpe-con01a,test-environment-aeghhgwpe-con01b,1
7,test-environment-assgbatj-pro02a,test-environment-assgbatj-pro02b,1
8,test-environment-assgbatj-pro05a,test-environment-assgbatj-pro05b,1
9,test-environment-assgbatj-pro01a,test-environment-assgbatj-pro01b,1
10,test-environment-assgbatj-pro03a,test-environment-assgbatj-pro03b,1
11,test-environment-assgbatj-pro04a,test-environment-assgbatj-pro04b,1
12,test-environment-assgbatj-con02a,test-environment-assgbatj-con02b,1
13,test-environment-assgbatj-con05a,test-environment-assgbatj-con05b,1
14,test-environment-assgbatj-con04a,test-environment-assgbatj-con04b,1
15,test-environment-assgbatj-con03a,test-environment-assgbatj-con03b,1
16,test-environment-assgbatj-con01a,test-environment-assgbatj-con01b,1
17,test-environment-aiahwagit-pro02a,test-environment-aiahwagit-pro02b,1
18,test-environment-aiahwagit-pro05a,test-environment-aiahwagit-pro05b,1
19,test-environment-aiahwagit-pro01a,test-environment-aiahwagit-pro01b,1
20,test-environment-aiahwagit-pro03a,test-environment-aiahwagit-pro03b,1
21,test-environment-aiahwagit-pro04a,test-environment-aiahwagit-pro04b,1
22,test-environment-aiahwagit-con02a,test-environment-aiahwagit-con02b,1
23,test-environment-aiahwagit-con04a,test-environment-aiahwagit-con04b,1
24,test-environment-aiahwagit-con03a,test-environment-aiahwagit-con03b,1
25,test-environment-aiahwagit-con01a,test-environment-aiahwagit-con01b,1
26,test-environment-ehwsnwu-pro02a,test-environment-ehwsnwu-pro02b,1
27,test-environment-ehwsnwu-pro01a,test-environment-ehwsnwu-pro01b,1
28,test-environment-ehwsnwu-con02a,test-environment-ehwsnwu-con02b,1
29,test-environment-ehwsnwu-con03a,test-environment-ehwsnwu-con03b,1
30,test-environment-ehwsnwu-con01a,test-environment-ehwsnwu-con01b,1
31,test-environment-chbwtlgcc-pro02a,test-environment-chbwtlgcc-pro02b,1
32,test-environment-chbwtlgcc-pro01a,test-environment-chbwtlgcc-pro01b,1
33,test-environment-chbwtlgcc-pro03a,test-environment-chbwtlgcc-pro03b,1
34,test-environment-chbwtlgcc-pro04a,test-environment-chbwtlgcc-pro04b,1
35,test-environment-chbwtlgcc-con02a,test-environment-chbwtlgcc-con02b,1
36,test-environment-chbwtlgcc-con03a,test-environment-chbwtlgcc-con03b,1
37,test-environment-chbwtlgcc-con01a,test-environment-chbwtlgcc-con01b,1
38,test-environment-opecewiahw-pro02a,test-environment-opecewiahw-pro02b,1
39,test-environment-opecewiahw-pro01a,test-environment-opecewiahw-pro01b,1
40,test-environment-opecewiahw-pro03a,test-environment-opecewiahw-pro03b,1
41,test-environment-opecewiahw-pro04a,test-environment-opecewiahw-pro04b,1
42,test-environment-opecewiahw-con02a,test-environment-opecewiahw-con02b,1
43,test-environment-opecewiahw-con04a,test-environment-opecewiahw-con04b,1
44,test-environment-opecewiahw-con03a,test-environment-opecewiahw-con03b,1
45,test-environment-opecewiahw-con01a,test-environment-opecewiahw-con01b,1
46,test-health-hdond-pro02a,test-health-hdond-pro02b,1
47,test-health-hdond-pro01a,test-health-hdond-pro01b,1
48,test-health-hdond-pro03a,test-health-hdond-pro03b,1
49,test-health-hdond-pro04a,test-health-hdond-pro04b,1
50,test-health-hdond-con02a,test-health-hdond-con02b,1
51,test-health-hdond-con04a,test-health-hdond-con04b,1
52,test-health-hdond-con03a,test-health-hdond-con03b,1
53,test-health-hdond-con01a,test-health-hdond-con01b,1
54,test-health-ppelfhwbpba-pro02a,test-health-ppelfhwbpba-pro02b,1
55,test-health-ppelfhwbpba-pro01a,test-health-ppelfhwbpba-pro01b,1
56,test-health-ppelfhwbpba-pro03a,test-health-ppelfhwbpba-pro03b,1
57,test-health-ppelfhwbpba-pro04a,test-health-ppelfhwbpba-pro04b,1
58,test-health-ppelfhwbpba-con02a,test-health-ppelfhwbpba-con02b,1
59,test-health-ppelfhwbpba-con03a,test-health-ppelfhwbpba-con03b,1
60,test-health-ppelfhwbpba-con01a,test-health-ppelfhwbpba-con01b,1
61,test-health-dhgsshbesbc-pro02a,test-health-dhgsshbesbc-pro02b,1
62,test-health-dhgsshbesbc-pro01a,test-health-dhgsshbesbc-pro01b,1
63,test-health-dhgsshbesbc-pro03a,test-health-dhgsshbesbc-pro03b,1
64,test-health-dhgsshbesbc-pro04a,test-health-dhgsshbesbc-pro04b,1
65,test-health-dhgsshbesbc-con02a,test-health-dhgsshbesbc-con02b,1
66,test-health-dhgsshbesbc-con03a,test-health-dhgsshbesbc-con03b,1
67,test-health-dhgsshbesbc-con01a,test-health-dhgsshbesbc-con01b,1
68,test-health-dhiacihwph-pro02a,test-health-dhiacihwph-pro02b,1
69,test-health-dhiacihwph-pro01a,test-health-dhiacihwph-pro01b,1
70,test-health-dhiacihwph-pro03a,test-health-dhiacihwph-pro03b,1
71,test-health-dhiacihwph-pro04a,test-health-dhiacihwph-pro04b,1
72,test-health-dhiacihwph-con02a,test-health-dhiacihwph-con02b,1
73,test-health-dhiacihwph-con03a,test-health-dhiacihwph-con03b,1
74,test-health-dhiacihwph-con01a,test-health-dhiacihwph-con01b,1
75,test-health-ahiahbgbsp-pro02a,test-health-ahiahbgbsp-pro02b,1
76,test-health-ahiahbgbsp-pro05a,test-health-ahiahbgbsp-pro05b,1
77,test-health-ahiahbgbsp-pro01a,test-health-ahiahbgbsp-pro01b,1
78,test-health-ahiahbgbsp-pro03a,test-health-ahiahbgbsp-pro03b,1
79,test-health-ahiahbgbsp-pro04a,test-health-ahiahbgbsp-pro04b,1
80,test-health-ahiahbgbsp-con02a,test-health-ahiahbgbsp-con02b,1
81,test-health-ahiahbgbsp-con04a,test-health-ahiahbgbsp-con04b,1
82,test-health-ahiahbgbsp-con03a,test-health-ahiahbgbsp-con03b,1
83,test-health-ahiahbgbsp-con01a,test-health-ahiahbgbsp-con01b,1
84,test-health-hgwhwbjfs-pro02a,test-health-hgwhwbjfs-pro02b,1
85,test-health-hgwhwbjfs-pro01a,test-health-hgwhwbjfs-pro01b,1
86,test-health-hgwhwbjfs-pro03a,test-health-hgwhwbjfs-pro03b,1
87,test-health-hgwhwbjfs-con02a,test-health-hgwhwbjfs-con02b,1
88,test-health-hgwhwbjfs-con04a,test-health-hgwhwbjfs-con04b,1
89,test-health-hgwhwbjfs-con03a,test-health-hgwhwbjfs-con03b,1
90,test-health-hgwhwbjfs-con01a,test-health-hgwhwbjfs-con01b,1
91,test-health-hpehwadvoee-pro02a,test-health-hpehwadvoee-pro02b,1
92,test-health-hpehwadvoee-pro05a,test-health-hpehwadvoee-pro05b,1
93,test-health-hpehwadvoee-pro01a,test-health-hpehwadvoee-pro01b,1
94,test-health-hpehwadvoee-pro03a,test-health-hpehwadvoee-pro03b,1
95,test-health-hpehwadvoee-pro04a,test-health-hpehwadvoee-pro04b,1
96,test-health-hpehwadvoee-con02a,test-health-hpehwadvoee-con02b,1
